editorial,edit_1,edit_2,edit_3,edit_4,edit_5,edit_6,edit_7
"CEDURE,PIEB,jatupeando",CEDURE,PIEB,jatupeando,,,,
"CEDURE,PIEB,jatupeando",CEDURE,PIEB,jatupeando,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
Instituto de Estudios Bolivianos,Instituto de Estudios Bolivianos,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
CIDOB,CIDOB,,,,,,
Universidad de Salamanca,Universidad de Salamanca,,,,,,
Red Habitat,Red Habitat,,,,,,
"IFEA,IRD",IFEA,IRD,,,,,
Universidad de Salamanca,Universidad de Salamanca,,,,,,
PIEB,PIEB,,,,,,
Arquitectura - UPEA,Arquitectura - UPEA,,,,,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA",UMSA,Arquitectura - UMSA,moptu,Ingeniería Geográfica - UMSA,CIDES - UMSA,,
"GAM - La Paz,PIEB",GAM - La Paz,PIEB,,,,,
"GAM - La Paz,PIEB",GAM - La Paz,PIEB,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
"CESU - UMSS,IIACH - UMSS,CEP,DICyT",CESU - UMSS,IIACH - UMSS,CEP,DICyT,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
"CEP,DICyT,IIACH - UMSS",CEP,DICyT,IIACH - UMSS,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
ARQUISUR,ARQUISUR,,,,,,
Universidad de Chile,Universidad de Chile,,,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
"PROEIB Andes, Plural Editores",PROEIB Andes, Plural Editores,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
"CESU - UMSS,DICyT,IIACH - UMSS,CEP",CESU - UMSS,DICyT,IIACH - UMSS,CEP,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
RENASEH,RENASEH,,,,,,
"IFEA,IRD,PNUD",IFEA,IRD,PNUD,,,,
Medicina UMSS,Medicina UMSS,,,,,,
UCB,UCB,,,,,,
Fundación Tierra,Fundación Tierra,,,,,,
Población y Sociedad,Población y Sociedad,,,,,,
Dereito Da Cidade,Dereito Da Cidade,,,,,,
Ibero-Amerikanisches Institut Preußischer,Ibero-Amerikanisches Institut Preußischer,,,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
"Ciudadanía,CERES,Los Tiempos",Ciudadanía,CERES,Los Tiempos,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
El País,El País,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
"El País,CEDURE",El País,CEDURE,,,,,
UPB,UPB,,,,,,
UPB,UPB,,,,,,
"RENASEH,CEP,IIACH - UMSS",RENASEH,CEP,IIACH - UMSS,,,,
RENASEH,RENASEH,,,,,,
UCB,UCB,,,,,,
Stigma,Stigma,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
Hans Seidel Stifung,Hans Seidel Stifung,,,,,,
"CIDES - UMSA,Asociación de Estudios Bolivianos,Plural Editores,IRD,Unicef",CIDES - UMSA,Asociación de Estudios Bolivianos,Plural Editores,IRD,Unicef,,
CIDES - UMSA,CIDES - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
Instituto de Investigaciones Sociales UNAM,Instituto de Investigaciones Sociales UNAM,,,,,,
CEDURE,CEDURE,,,,,,
UNITAS,UNITAS,,,,,,
Universidad del Rosario,Universidad del Rosario,,,,,,
DICyT,DICyT,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
"IIACH - UMSS,Facultad de Arquitectura - UMSS",IIACH - UMSS,Facultad de Arquitectura - UMSS,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
UPB,UPB,,,,,,
UCB,UCB,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
FAADU - UMSA,FAADU - UMSA,,,,,,
NoPatria,NoPatria,,,,,,
Jichha,Jichha,,,,,,
CIS,CIS,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
DICyT,DICyT,,,,,,
"DICyT,Centro Agua",DICyT,Centro Agua,,,,,
UPB,UPB,,,,,,
UPB,UPB,,,,,,
RENASEH,RENASEH,,,,,,
RENASEH,RENASEH,,,,,,
"DICyT,Cooperación Sueca",DICyT,Cooperación Sueca,,,,,
"RENASEH,PROHABITAT",RENASEH,PROHABITAT,,,,,
RENASEH,RENASEH,,,,,,
"Journal of Traditional Building, Architecture and Urbanism",Journal of Traditional Building, Architecture and Urbanism,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
Fundación Alternativas,Fundación Alternativas,,,,,,
UPB,UPB,,,,,,
UCB,UCB,,,,,,
UPB,UPB,,,,,,
"Universidad Alberto Hurtado,Universidad Nacional de Colombia",Universidad Alberto Hurtado,Universidad Nacional de Colombia,,,,,
Fundación Miguel Lillo,Fundación Miguel Lillo,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
Universidad de Alicante,Universidad de Alicante,,,,,,
